L,S,A_init,T
1024,0,0.016,1101
1024,0,0.016,1201
1024,0,0.016,1301
1024,0,0.016,1401
1024,0,0.017,1
1024,0,0.017,101
1024,0,0.017,201
1024,0,0.017,301
1024,0,0.017,401
1024,0,0.017,501
1024,0,0.017,601
1024,0,0.017,701
1024,0,0.017,801
1024,0,0.017,901
1024,0,0.017,1001
1024,0,0.017,1101
1024,0,0.017,1201
1024,0,0.017,1301
1024,0,0.017,1401
1024,0,0.018,1
1024,0,0.018,101
1024,0,0.018,201
1024,0,0.018,301
1024,0,0.018,401
1024,0,0.018,501
1024,0,0.018,601
1024,0,0.018,701
1024,0,0.018,801
1024,0,0.018,901
1024,0,0.018,1001
1024,0,0.018,1101
1024,0,0.018,1201
1024,0,0.018,1301
1024,0,0.018,1401
1024,0,0.019,1
1024,0,0.019,101
1024,0,0.019,201
1024,0,0.019,301
1024,0,0.019,401
1024,0,0.019,501
1024,0,0.019,601
1024,0,0.019,701
1024,0,0.019,801
1024,0,0.019,901
1024,0,0.019,1001
1024,0,0.019,1101
1024,0,0.019,1201
1024,0,0.019,1301
1024,0,0.019,1401
